#Wed Oct 26 18:34:52 BST 2016
12step;51;16320441,17889297,16311185,16856072,19339148,19581057,12638636,15387206,12380849,18159779,19042324,19207347,18557829,19457623,=
12stepbas;2;19207347,=
12steprel;1;16320441,=
12stepspecif;1;19042324,=
12th;2;920069894,82095105,=
12week;1;517268413,=
12year;1;810081319,=
12yearold;1;119671942,=
1300;1;719227188,=
13037;1;119341200,=
1304;1;19161639,=
1306;1;816878079,=
130;12;19691964,69311715,89050026,518460483,22894873,420156622,219014920,118488297,119728741,19439631,817128380,26735146,=
130residu;1;320124694,=
13192t;1;19329623,=
13193t;1;19605714,=
131;2;620074360,314646108,=
131ialbumin;1;82922411,=
131imetaiodobenzylguanidin;1;417002930,=
1320;5;517227589,719530912,720009966,719614623,720062896,=
132406;1;120480728,=
132;8;219128188,89050026,88183045,517564735,61465774,719487262,519720133,=
132micron;1;88183045,=
1330;2;20102672,=
1330cm1;1;519362851,=
133;2;520059533,420157193,=
133xe;2;88736713,=
133xenon;2;89129601,816878079,=
133xewashout;4;88736714,88736713,89564712,=
1341;1;118723708,=
1344;1;816878079,=
1345;1;918830163,=
1348;1;519475463,=
134;7;919494030,119180338,219437773,516983146,19303868,23194173,19286827,=
1352;1;319943882,=
135;5;519819538,19622785,816878079,62031261,19762834,=
1362;1;816878079,=
136;7;812185224,19528600,21647518,518951003,219182438,218839904,119019667,=
136a;4;219182438,=
136bp;1;219182438,=
136c;2;219182438,=
1374;1;519639250,=
137;7;817763279,19176630,319943882,=
1380;1;517227589,=
138;6;519475463,68592437,119180338,519755440,519483081,119901882,=
1398;1;23700653,=
139;1;519819538,=
13acet;1;19288401,=
13c1alanin;1;519884027,=
13c1h;1;118608782,=
13c1lactat;1;519884027,=
13c1pyruv;2;519884027,=
13c6glucos;1;19966165,=
13c;11;517180881,519137603,919370879,519884027,19603474,=
13calphalinolenateund;1;517180881,=
13clabel;1;517180881,=
13cmass;1;19966165,=
13cnmr;1;118608782,=
13compart;1;19692493,=
13crecycl;1;19966165,=
13kda;1;519767579,=
13millimeterdiamet;1;112403546,=
13q;5;420110188,=
13s;1;518070874,=
13th;1;920112863,=
13weekold;1;19333680,=
140210;1;611271271,=
1406;1;519766907,=
1407;1;61417190,=
140;11;720009966,67521742,320141757,112403546,19603474,720062896,19655328,718666025,19762834,=
1411;1;718686862,=
14149;1;719107779,=
1415;1;418669293,=
1416;1;19706206,=
141925t;1;19625420,=
141;5;919459294,719301204,23194173,27263837,=
1420;1;219550411,=
142;3;519819538,18028521,219687126,=
143974;1;519733160,=
143;8;719833748,519755440,718942022,519362200,919157111,816878079,519321563,519825220,=
144296;1;718700876,=
144;3;719856712,719369460,119341200,=
144oxo4;1;119226143,=
1452;1;620368421,=
145;4;27158228,718674829,20057337,219437978,=
1469;1;120306731,=
146;2;620457961,519381488,=
147;3;62010049,519913351,218839904,=
148;7;320146278,519884265,420156622,620169774,23194173,519193660,68475563,=
1494;1;812185224,=
149625;1;219452585,=
149;5;519999130,314646108,816878079,519483081,=
14cala;3;520128809,=
14cglycylsarcosin;1;520104847,=
14cglysar;4;519555106,520128809,=
14d;2;119226143,=
14day;2;612544867,68592437,=
14dayold;1;920149818,=
14q31q32;1;620457961,=
14q;1;620457961,=
14z203omega6;1;518070874,=
1500;1;19904637,=
150;24;612792518,615316366,116687632,815291293,520069433,29871489,519747250,320062936,62031261,19233802,12713200,320118150,320142119,918196526,719369460,615548965,419266184,612352905,718785312,12915517,19820054,320229679,=
150mg;2;320062936,=
151;7;23700653,88514703,620460594,320452885,19375530,=
1520;1;320083109,=
1521;2;817081605,119628957,=
152;4;719332626,517374659,119514456,417420440,=
1530;1;19403950,=
1531;1;68475563,=
1533;1;20047764,=
153;8;118665218,620460594,519913351,620099342,718666025,620074360,816878079,26255807,=
1542;1;417679462,=
1544;1;16277627,=
154;5;27111663,23700653,18657129,620193532,417075569,=
1559;1;517227589,=
155;2;89050026,21647518,=
15619;1;17401731,=
1561;1;88829179,=
156;2;219013301,19187818,=
1577;1;218782342,=
157;2;519934966,26735146,=
158;4;69311715,89050026,26467834,719278370,=
15904;1;620079229,=
159;5;22850158,23700653,417690163,=
15cm;1;68361174,=
15epoxyeicosa5zeno;3;420038752,=
15fold;5;519555106,417002930,620138122,320158267,=
15hete;1;517892040,=
15item;1;17149528,=
15micronsdiam;1;88226482,=
15month;1;16736076,=
15n15nurea;1;19403708,=
15n1hn;1;519618277,=
15n;8;19603474,519746945,519618277,=
15nlabel;2;19692493,19706206,=
15year;1;620129626,=
15yearold;1;418669293,=
15yr;1;420371661,=
1600;3;519374358,420219855,517059813,=
1601;1;620117845,=
160;10;719040522,719779028,115551104,917574357,918568789,519747247,519555249,19739658,18557829,=
161169;1;19643160,=
161;5;19213717,320375022,518367385,816878079,=
1620;1;417535996,=
1622;1;22264624,=
1623;1;417535996,=
16251786;1;918830163,=
162;2;920112863,810898284,=
163;1;19528600,=
1640;4;719530912,918161920,720062896,720374383,=
165;5;97005739,720009966,68489312,320361728,23194173,=
1660;1;620099342,=
1666;1;19920778,=
166;4;719928490,19717784,68452627,620099342,=
1673;1;319943882,=
1679;1;17401731,=
167;3;15063919,215246584,12086134,=
168;2;519475463,620376892,=
169179;1;320375022,=
1694;1;517284757,=
169;3;19207347,26337960,22440315,=
16alphaht;4;420432817,=
16alphahydroxylas;3;520043997,=
16alphahydroxytestosteron;1;420432817,=
16beta;8;919356776,918804824,=
16betaht;5;420432817,=
16betahydroxytestosteron;1;420432817,=
16fold;2;218836025,517667849,=
16ohprogesteron;5;520043997,=
16s;6;19329623,19625420,19605714,219200331,917624668,=
16year;6;16538654,15946805,19446963,=
16yrold;1;719270487,=
1700;1;519374358,=
170;6;29871489,219932956,19820054,119277111,27404574,219861527,=
170fold;1;418090541,=
171519;1;519720797,=
171;5;719856712,519475463,918568789,817128380,82801013,=
1728;1;219058034,=
172;2;19528600,23714004,=
172kda;1;918024144,=
173183;1;320375022,=
1745microm;1;519903464,=
174;3;219403456,15376830,21329852,=
17551763;1;519651525,=
175;3;93616006,320442322,720108773,=
176;3;918568789,61417190,68475563,=
177183;1;320518490,=
1773;1;519825220,=
177;2;519720797,19820054,=
1786;1;718764857,=
178;2;219437773,68661178,=
179;1;118812052,=
17alphaethinylestradiol;1;420132880,=
17alphahydroxyl;1;520043997,=
17alphahydroxylas;2;419915020,=
17alphahydroxyprogesteron;1;420432815,=
17betaestradiol;6;320159012,517912567,420132880,=
17betahsd;1;419913782,=
17betahydroxysteroid;1;420146381,=
17dayold;1;320026305,=
17epoxyeicosatrieno;1;420038752,=
17fold;2;420410472,620138122,=
17hydroxycorticosteroid;1;418669293,=
17hydroxyl;2;520043997,=
17hydroxyprogesteron;2;420101888,=
17item;1;19581057,=
17ketosteroid;1;418669293,=
17m;1;218951774,=
17ohp;10;420432815,420101888,420190160,=
17yearold;1;420110188,=
1800;1;420219855,=
180618;1;320375022,=
180640;1;718789071,=
180;25;917565873,320124694,119227321,719530912,68592437,720009966,418234185,68361174,218828806,219437978,718813929,719897433,718727460,61835194,519884265,19820054,718820931,28853830,719127458,=
1815;1;519144731,=
181;2;19820054,119019667,=
181n9;1;517134970,=
1821weekold;1;87573987,=
1824;1;69500619,=
18291;1;519420716,=
1829;1;519584895,=
1829yearold;1;519584895,=
182;1;517892040,=
182n6;2;519271319,517134970,=
1830;1;83312648,=
1832;1;420515577,=
183;6;517892040,517086218,119019667,517898498,519588182,519587335,=
183n3;13;517409318,520049582,519271319,517374659,518936216,518993032,517134970,517912567,518802197,519447164,519157821,519321563,=
1848;1;420190160,=
184;9;22850158,22264624,518951003,419261400,19602583,719390908,620406759,=
184n3;2;520049582,518936216,=
1850;1;19846668,=
185;6;519380484,817128380,19820054,19339148,720108773,=
1863;1;119341200,=
1865;1;17401731,=
186;3;719369460,119180338,319923980,=
1872;1;517409318,=
1873;1;320145093,=
